part_name,quantity,link,price,uuid
MGS Epoksi Reçine,1,https://www.kompozitshop.com/mgs-laminasyon-epoksi-recine-l285,1510,gov1
MGS Epoksi Sertleştirici,1,https://www.kompozitshop.com/mgs-laminasyon-epoksi-sertlestirici-h285,1753.2,gov2
Duratek Epoksi & Sertleştirici,1,https://shop.kompozitakademi.com.tr/urun/dte-1200-dts-1151-dusuk-viskoziteli-epoksi-esasli-elyaf-laminasyon-recinesi-2-kg,1500,gov3
3D Bambulab P1S,1,https://store.metatechtr.com/bambu-lab-p1s-3d-printers,"34.079,62",gov4
Zımpara 150,50,https://ercanyapimarket.com/zimparalar/prd-zimpara-150-kum-tabaka-a4-kagidi-boyutunda-e0543 ,"29,50",gov5
Zımpara 600,50,https://ercanyapimarket.com/zimparalar/prd-zimpara-600-kum-tabaka-a4-kagidi-boyutunda-e0552,"29,50",gov6
Zımpara 1000,50,https://ercanyapimarket.com/zimparalar/prd-zimpara-1000-kum-tabaka-a4-kagidi-boyutunda-e0554,"29,50",gov7
Yüz Maskesi,5,https://www.n11.com/urun/jms-16si-1-arada-yeniden-kullanilabilir-tam-yuz-maskesi-48436957?magaza=bosphorusboutique&gad_source=4,"1.080,28",gov8
Eldiven,5,https://www.erashonline.com/urun/pps-gloves-safecare-tek-kullanimlik-eldiven,"223,76",gov9
Gözlük,10,https://www.erashonline.com/urun/pyramex-neshoba-es9710st-seffaf-af-koruyucu-is-gozlugu,"135,62",gov10
Metal Mandal,5,https://www.amazon.com.tr/Stanley-St983079-Metal-Mandal-25/dp/B002V4ULOS?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A1UNQM1SR2CHM,74,gov11
Epoksi Macun,1,https://www.nalburdayim.com/teknobond-200-epoksi-macun-5-kg?gad_source=4&gclid=CjwKCAjwwe2_BhBEEiwAM1I7sYrl4-EAUMJtIUCnkFUCzALANv4ykVi965ePwJovZsSJgEJgg5ttlBoCpS8QAvD_BwE,"1.965,60",gov12
