part_name,quantity,link,price,uuid
216 parça Lokma Takımı,1,https://www.trendyol.com/newstar/tam-profesiyonel-germany-72-dis-egik-circir-216-parca-lokma-takimi-oto-tamirci-tam-set-1-2-3-8-1-4-p-747746116?boutiqueId=61&merchantId=393416?adjust_t=r7x8wfn_bz3o6ag&adjust_campaign=x:all_y:all_z:all_t:catalog&utm_source=google&utm_medium=cpc&utm_campaign=x:all_y:all_z:all_t:catalog&storefrontId=1&countryCode=TR&language=tr&gads=true,3300,mek1
Balata Spreyi,5,https://www.trendyol.com/404/fren-balata-ve-genel-temizleyici-spreyi-500-ml-p-6491551?boutiqueId=61,75,mek2
Metal Delme matkap ucu seti (13 parça),1,https://www.amazon.com.tr/Bosch-Matkap-Ucu-Gri-Adet/dp/B078W4YW2N/ref=asc_df_B078W4YW2N?mcid=338cfb4f85283f45a86ede164ad9dbc3&tag=trshpngglede-21&linkCode=df0&hvadid=710371490789&hvpos=&hvnetw=g&hvrand=442542294647644208&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9056770&hvtargid=pla-887918323847&language=tr_TR&gad_source=4&th=1,322,mek3
Ayarlı Pense,1,https://www.hepsiburada.com/mf-tools-ayarli-pense-ayarli-pense-250-mm-ayarli-pense-p-HBCV00007GFCE1?magaza=Asya%20G%C3%BCmr%C3%BCk%20Mallar%C4%B1&,230,mek4
Papağan Pense,1,https://www.hepsiburada.com/alc-papagan-pense-su-pompasi-pensesi-alc-pense-p-HBCV00007GG181?magaza=Asya%20G%C3%BCmr%C3%BCk%20Mallar%C4%B1&,260,mek5
Işıldak,1,https://www.trendyol.com/genel-markalar/fujita-24-led-li-80-saat-yanan-buyuk-led-isildak-super-guc-24-led-p-46505415?boutiqueId=61&merchantId=886818,430,mek6
Kompresör Seti,1,https://www.hepsiburada.com/attlas-kompresor-5-li-set-p-HBV00000YQCLG?magaza=Everest%20H%C4%B1rdavat%20Yap%C4%B1%20Market&wt_gl=cpc.pmax.camp20976840708adgr000000&gad_source=4&gclid=CjwKCAjwwe2_BhBEEiwAM1I7setBiRGwjtlHoOo8dSo_Kqem67ajMOr19IFesZl4253gRD2pWa7qiBoCs00QAvD_BwE,775,mek7
Beyaz Boya,1,https://www.hepsiburada.com/dyo-dyocryl-2k-akrilik-super-beyaz-2-toy-040-1l-p-HBCV00002DAP6T?magaza=%C5%9EAFAK+BOYA,634,mek8
Vernik,1,https://www.hepsiburada.com/dyo-akrilik-vernik-1lt-p-HBV000019NJAR?magaza=prowax-carcare,435,mek9
Lastik Basıç Ölçer ,1,https://www.pttavm.com/diwu-dijital-lastik-hava-basinci-olcer-aydinlatmali-p-82039077?srsltid=AfmBOoqoDUbcpPwgbtMBqIM0gWf7dV0Ows-IM7RBQrPdXdyZmjqZIzZ6Kj0,332.22,mek10
5 Pin Mike Konnektör Erkek ,https://localhost:3000/s/WXIc6OP,8,21.6,
